generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,3.3585269943549405,0.2338284336462269,0.14461415044562065,0.02680065719087323,0.5842666666666667,0.03249505945353675,0.5842666666666667,0.03249505945353675,7691819.954448902,762650946.3780915,467.08,0,0.0,0.0,380.5539798696737,21095.087232954895,127736.25675796907
1,0.0,0.0,3.3585269943549405,0.2338284336462269,0.14461415044562065,0.02680065719087323,1.0,0.0,1.0,0.0,7302153.3283676775,711768308.5312902,430.097619047619,0,0.0,0.0,0.0,29361.387585581804,171790.0774911166
2,0.0,0.0,3.3585269943549405,0.2338284336462269,0.14461415044562065,0.02680065719087323,1.0,0.0,1.0,0.0,7012618.269267952,660639366.883715,427.5888095238095,0,0.0,0.0,0.0,25749.201422350303,172009.41662706368
3,0.0,0.0,3.3585269943549405,0.2338284336462269,0.14461415044562065,0.02680065719087323,1.0,0.0,1.0,0.0,7012618.269267952,632119890.545259,427.5888095238095,0,0.0,0.0,0.0,23535.88651921745,172500.12384210227
4,0.0,0.0,3.3585269943549405,0.2338284336462269,0.14461415044562065,0.02680065719087323,1.0,0.0,1.0,0.0,7012618.269267952,601622799.8680493,427.5888095238095,0,0.0,0.0,0.0,22153.996677928393,173936.99623376894
5,0.0002,0.0010770329614269007,1.634133769298519,0.1871351576568849,0.1085273333418853,0.020204332365728037,1.0,0.0,1.0,0.0,7002914.03672622,563582387.8652819,427.5888095238095,0,0.0,0.0,0.0,20892.658706370727,174690.38335926324
6,0.0002,0.0010770329614269007,1.634133769298519,0.1871351576568849,0.1085273333418853,0.020204332365728037,1.0,0.0,1.0,0.0,6930762.063486826,542391065.6397967,427.5888095238095,0,0.0,0.0,0.0,20027.62280533323,176592.96651990697
7,0.0002,0.0010770329614269007,1.634133769298519,0.1871351576568849,0.1085273333418853,0.020204332365728037,1.0,0.0,1.0,0.0,6930762.063486826,538746742.7074983,427.5888095238095,0,0.0,0.0,0.0,18656.661772209485,176634.79799433777
8,0.0002,0.0010770329614269007,1.634133769298519,0.1871351576568849,0.1085273333418853,0.020204332365728037,1.0,0.0,1.0,0.0,6715364.531417999,534747388.25893766,427.5888095238095,0,0.0,0.0,0.0,18282.186480755885,179089.89803157983
9,0.0002,0.0010770329614269007,1.634133769298519,0.1871351576568849,0.1085273333418853,0.020204332365728037,1.0,0.0,1.0,0.0,6709452.717735958,523931570.07792085,426.2276190476191,0,0.0,0.0,0.0,17607.534132839533,180718.50762693855
