generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,inf,,0.0,0.0,0.0010666666666666667,0.0027194770739161506,0.0010666666666666667,0.0027194770739161506,20431964.682957567,1885476019.998919,521.1971428571428,1,0.0,0.0,2229.2989994544237,52871.368253740235,318622.842343728
1,0.0,0.0,inf,,0.0,0.0,0.00986666666666667,0.015823470612423257,0.00986666666666667,0.015823470612423257,20431964.682957567,1885476019.998919,521.1971428571428,1,0.0,0.0,564.7208545296779,85321.54780532717,448627.1595358473
2,0.0,0.0,inf,,0.0,0.0,0.06293333333333335,0.0639577638411128,0.06293333333333335,0.0639577638411128,20431964.682957567,1885476019.998919,521.1971428571428,1,0.0,0.0,295.9536325501153,91972.51768283834,477055.3155025642
3,0.0,0.0,inf,,0.0,0.0,0.23760000000000006,0.16760779615916838,0.23760000000000006,0.16760779615916838,18941989.167133138,1731892200.429662,521.1971428571428,0,0.0,0.0,117.91914359825064,96259.3209729636,498788.1858849298
4,0.0,0.0,inf,,0.0,0.0,0.5629333333333333,0.25265720298899497,0.5629333333333333,0.25265720298899497,18941989.167133138,1652463122.886216,481.7004761904762,0,0.0,0.0,30.214841794399664,98170.81876753237,512905.27595432726
5,0.0,0.0,3.1937044373614567,0.3134454551030985,0.08028474178016862,0.015699318352308377,0.9128000000000002,0.18000711097065022,0.9128000000000002,0.18000711097065022,18833998.061096996,1469177783.9929059,481.7004761904762,0,0.0,0.0,4.519483082578676,97117.58588289101,521712.9938139192
6,0.0,0.0,3.1937044373614567,0.3134454551030985,0.08028474178016862,0.015699318352308377,0.984,0.08616263691415207,0.984,0.08616263691415207,18105615.97474834,1360113612.785555,473.8566666666667,0,0.0,0.0,0.593714923031913,93266.01559142063,524817.107297179
7,0.0,0.0,3.1937044373614567,0.3134454551030985,0.08028474178016862,0.015699318352308377,1.0,0.0,1.0,0.0,18082058.971165035,1360113612.785555,467.83142857142855,0,0.0,0.0,0.0,89961.87526429861,526294.2201105349
8,0.0,0.0,3.1937044373614567,0.3134454551030985,0.08028474178016862,0.015699318352308377,1.0,0.0,1.0,0.0,18004268.675744046,1360113612.785555,467.83142857142855,0,0.0,0.0,0.0,88658.16981562316,529957.1265761874
9,0.0,0.0,3.1937044373614567,0.3134454551030985,0.08028474178016862,0.015699318352308377,1.0,0.0,1.0,0.0,17860797.18972048,1351203949.7444053,467.83142857142855,0,0.0,0.0,0.0,86037.00260379066,530976.3164600157
10,0.0,0.0,2.1665380045341833,0.2784847556123807,0.06806986200697591,0.013518381988701816,1.0,0.0,1.0,0.0,17786165.958165184,1305324709.5550776,467.83142857142855,0,0.0,0.0,0.0,83886.86525201493,532495.8339353894
11,0.0,0.0,2.1665380045341833,0.2784847556123807,0.06806986200697591,0.013518381988701816,1.0,0.0,1.0,0.0,17304904.233267564,1275147236.7048192,467.83142857142855,0,0.0,0.0,0.0,81421.10694735935,533143.2451145039
12,0.0,0.0,2.1665380045341833,0.2784847556123807,0.06806986200697591,0.013518381988701816,1.0,0.0,1.0,0.0,17304904.233267564,1247494759.762866,467.83142857142855,0,0.0,0.0,0.0,80033.26701484915,534583.3165866652
13,0.0,0.0,2.1665380045341833,0.2784847556123807,0.06806986200697591,0.013518381988701816,1.0,0.0,1.0,0.0,17242368.43309146,1234738101.305398,467.83142857142855,0,0.0,0.0,0.0,78146.51608323,534676.2692169643
14,0.0,0.0,2.1665380045341833,0.2784847556123807,0.06806986200697591,0.013518381988701816,1.0,0.0,1.0,0.0,16816193.88336216,1234738101.305398,465.19714285714286,0,0.0,0.0,0.0,77432.1268965897,536269.63864594
15,0.0009166666666666666,0.00286962057112473,1.5751499957665986,0.27301494198323234,0.05683346909251352,0.01748386083518856,1.0,0.0,1.0,0.0,16675950.964818055,1233434986.6813316,465.19714285714286,0,0.0,0.0,0.0,75570.2349210816,535751.1499666005
16,0.0009166666666666666,0.00286962057112473,1.5751499957665986,0.27301494198323234,0.05683346909251352,0.01748386083518856,1.0,0.0,1.0,0.0,16439179.052609906,1201848842.8015573,465.19714285714286,0,0.0,0.0,0.0,74358.50026777339,536901.957247019
17,0.0009166666666666666,0.00286962057112473,1.5751499957665986,0.27301494198323234,0.05683346909251352,0.01748386083518856,1.0,0.0,1.0,0.0,16343029.179628538,1198191069.0206413,465.19714285714286,0,0.0,0.0,0.0,73810.25631157715,538969.2137001207
18,0.0009166666666666666,0.00286962057112473,1.5751499957665986,0.27301494198323234,0.05683346909251352,0.01748386083518856,1.0,0.0,1.0,0.0,16197789.729780586,1198191069.0206413,465.19714285714286,0,0.0,0.0,0.0,72638.03675411701,538678.4739984798
19,0.0009166666666666666,0.00286962057112473,1.5751499957665986,0.27301494198323234,0.05683346909251352,0.01748386083518856,1.0,0.0,1.0,0.0,15746095.253556047,1182965283.8581119,465.19714285714286,0,0.0,0.0,0.0,71337.2889706903,538149.4381522513
20,0.01891666666666667,0.03698560155279649,1.241122797906668,0.27106710104154025,0.04980821525443135,0.015370409928174789,1.0,0.0,1.0,0.0,15746095.253556047,1179422262.0572588,465.19714285714286,0,0.0,0.0,0.0,70260.60159635449,537947.2528922909
21,0.01891666666666667,0.03698560155279649,1.241122797906668,0.27106710104154025,0.04980821525443135,0.015370409928174789,1.0,0.0,1.0,0.0,15746095.253556047,1170763398.394139,465.19714285714286,0,0.0,0.0,0.0,69986.38428006442,539378.5174028664
22,0.01891666666666667,0.03698560155279649,1.241122797906668,0.27106710104154025,0.04980821525443135,0.015370409928174789,1.0,0.0,1.0,0.0,15511389.35651592,1170763398.394139,460.045,0,0.0,0.0,0.0,69001.02794626728,540011.7733095638
23,0.01891666666666667,0.03698560155279649,1.241122797906668,0.27106710104154025,0.04980821525443135,0.015370409928174789,1.0,0.0,1.0,0.0,15497014.944301834,1160761584.6492922,460.045,0,0.0,0.0,0.0,68761.77633617535,540870.0530592378
24,0.01891666666666667,0.03698560155279649,1.241122797906668,0.27106710104154025,0.04980821525443135,0.015370409928174789,1.0,0.0,1.0,0.0,15497014.944301834,1160761584.6492922,460.045,0,0.0,0.0,0.0,68070.54449522767,541487.6473121241
25,0.04818333333333332,0.05769076808486972,1.0257735521010718,0.2357098197395518,0.0470915857264639,0.015266330218707403,1.0,0.0,1.0,0.0,15485614.996369345,1156105920.6784985,460.045,0,0.0,0.0,0.0,66641.74428978385,539847.1062262644
26,0.04818333333333332,0.05769076808486972,1.0257735521010718,0.2357098197395518,0.0470915857264639,0.015266330218707403,1.0,0.0,1.0,0.0,15438574.659237226,1156105920.6784985,460.045,0,0.0,0.0,0.0,66495.83453434489,540322.5483650673
27,0.04818333333333332,0.05769076808486972,1.0257735521010718,0.2357098197395518,0.0470915857264639,0.015266330218707403,1.0,0.0,1.0,0.0,15166726.210476795,1138894423.567091,460.045,0,0.0,0.0,0.0,66029.04924732045,540868.7459634
28,0.04818333333333332,0.05769076808486972,1.0257735521010718,0.2357098197395518,0.0470915857264639,0.015266330218707403,1.0,0.0,1.0,0.0,15166726.210476795,1138894423.567091,426.33880952380946,0,0.0,0.0,0.0,66002.66999209684,541595.1105111644
29,0.04818333333333332,0.05769076808486972,1.0257735521010718,0.2357098197395518,0.0470915857264639,0.015266330218707403,1.0,0.0,1.0,0.0,15151537.03148505,1138894423.567091,426.33880952380946,0,0.0,0.0,0.0,65016.00126975415,540770.4987045337
30,0.09163333333333333,0.08819409781209223,0.8883410023021169,0.2408349152755335,0.037653753823962015,0.01375245256518183,1.0,0.0,1.0,0.0,15016398.013511622,1128112007.5440671,426.33880952380946,0,0.0,0.0,0.0,63743.3802612256,539186.1995642983
31,0.09163333333333333,0.08819409781209223,0.8883410023021169,0.2408349152755335,0.037653753823962015,0.01375245256518183,1.0,0.0,1.0,0.0,14980153.842767632,1125301198.726169,422.2238095238095,0,0.0,0.0,0.0,63237.00964289136,538286.0637649139
32,0.09163333333333333,0.08819409781209223,0.8883410023021169,0.2408349152755335,0.037653753823962015,0.01375245256518183,1.0,0.0,1.0,0.0,14969201.286974799,1125301198.726169,422.2238095238095,0,0.0,0.0,0.0,62692.85880325357,537455.5838158865
33,0.09163333333333333,0.08819409781209223,0.8883410023021169,0.2408349152755335,0.037653753823962015,0.01375245256518183,1.0,0.0,1.0,0.0,14939478.270639058,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,61617.85115003176,536244.6116647334
34,0.09163333333333333,0.08819409781209223,0.8883410023021169,0.2408349152755335,0.037653753823962015,0.01375245256518183,1.0,0.0,1.0,0.0,14939478.270639058,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,60897.464849119766,535585.8463495421
35,0.12721666666666667,0.10349160057168354,0.8009074979827365,0.23712174367985464,0.039042713010337925,0.016307643474715985,1.0,0.0,1.0,0.0,14885811.23175305,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,60397.35883004334,535789.9682620222
36,0.12721666666666667,0.10349160057168354,0.8009074979827365,0.23712174367985464,0.039042713010337925,0.016307643474715985,1.0,0.0,1.0,0.0,14885811.23175305,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,59912.800920763366,535522.6873723703
37,0.12721666666666667,0.10349160057168354,0.8009074979827365,0.23712174367985464,0.039042713010337925,0.016307643474715985,1.0,0.0,1.0,0.0,14835509.696416402,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,60005.07326668634,536406.0850579666
38,0.12721666666666667,0.10349160057168354,0.8009074979827365,0.23712174367985464,0.039042713010337925,0.016307643474715985,1.0,0.0,1.0,0.0,14779960.096618326,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,59729.02672372352,536467.4712057774
39,0.12721666666666667,0.10349160057168354,0.8009074979827365,0.23712174367985464,0.039042713010337925,0.016307643474715985,1.0,0.0,1.0,0.0,14779960.096618326,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,59294.81646067885,536453.2854975106
40,0.15958333333333335,0.12369849657758801,0.7405488323456771,0.2374301498671529,0.03514229396636592,0.01901383949543307,1.0,0.0,1.0,0.0,14779960.096618326,1122607055.0690417,422.2238095238095,0,0.0,0.0,0.0,59029.95822226403,536561.3754479456
41,0.15958333333333335,0.12369849657758801,0.7405488323456771,0.2374301498671529,0.03514229396636592,0.01901383949543307,1.0,0.0,1.0,0.0,14752126.571088428,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,58361.26079569688,535872.6477608955
42,0.15958333333333335,0.12369849657758801,0.7405488323456771,0.2374301498671529,0.03514229396636592,0.01901383949543307,1.0,0.0,1.0,0.0,14752126.571088428,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,58064.08712916074,535852.3995667902
43,0.15958333333333335,0.12369849657758801,0.7405488323456771,0.2374301498671529,0.03514229396636592,0.01901383949543307,1.0,0.0,1.0,0.0,14752126.571088428,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,57528.52576991345,535207.6889150081
44,0.15958333333333335,0.12369849657758801,0.7405488323456771,0.2374301498671529,0.03514229396636592,0.01901383949543307,1.0,0.0,1.0,0.0,14746851.574184665,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,57505.304414364145,535503.2151835836
45,0.18616666666666667,0.13465290771296234,0.6879572226945861,0.23108232504501958,0.03033875737828532,0.018244057060172843,1.0,0.0,1.0,0.0,14746851.574184665,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,57660.409376502816,536408.366720301
46,0.18616666666666667,0.13465290771296234,0.6879572226945861,0.23108232504501958,0.03033875737828532,0.018244057060172843,1.0,0.0,1.0,0.0,14746851.574184665,1117433672.8171864,422.2238095238095,0,0.0,0.0,0.0,57459.403244096706,536152.5094357448
47,0.18616666666666667,0.13465290771296234,0.6879572226945861,0.23108232504501958,0.03033875737828532,0.018244057060172843,1.0,0.0,1.0,0.0,14732511.853814786,1117172597.164322,422.2238095238095,0,0.0,0.0,0.0,57037.42841450902,535822.2305925589
48,0.18616666666666667,0.13465290771296234,0.6879572226945861,0.23108232504501958,0.03033875737828532,0.018244057060172843,1.0,0.0,1.0,0.0,14699101.589423794,1117172597.164322,422.2238095238095,0,0.0,0.0,0.0,56496.57154745328,535244.3171687559
49,0.18616666666666667,0.13465290771296234,0.6879572226945861,0.23108232504501958,0.03033875737828532,0.018244057060172843,1.0,0.0,1.0,0.0,14699101.589423794,1110027312.2252994,422.2238095238095,0,0.0,0.0,0.0,56745.57740887403,536078.2166223885
50,0.2096166666666667,0.14444599240623543,0.6460213773739346,0.23070146726203133,0.020892475395404776,0.007061965143054772,1.0,0.0,1.0,0.0,14686668.645611973,1110027312.2252994,422.2238095238095,0,0.0,0.0,0.0,56310.91786068236,536004.511022642
51,0.2096166666666667,0.14444599240623543,0.6460213773739346,0.23070146726203133,0.020892475395404776,0.007061965143054772,1.0,0.0,1.0,0.0,14677270.929190813,1109863854.004416,422.2238095238095,0,0.0,0.0,0.0,56183.13548649206,535995.9887280795
52,0.2096166666666667,0.14444599240623543,0.6460213773739346,0.23070146726203133,0.020892475395404776,0.007061965143054772,1.0,0.0,1.0,0.0,14673838.421211507,1109863854.004416,422.2238095238095,0,0.0,0.0,0.0,56110.04743995623,536527.7607628226
53,0.2096166666666667,0.14444599240623543,0.6460213773739346,0.23070146726203133,0.020892475395404776,0.007061965143054772,1.0,0.0,1.0,0.0,14638893.402916497,1109287126.904416,422.2238095238095,0,0.0,0.0,0.0,56066.13224536148,536787.5883238957
54,0.2096166666666667,0.14444599240623543,0.6460213773739346,0.23070146726203133,0.020892475395404776,0.007061965143054772,1.0,0.0,1.0,0.0,14623771.173219586,1107879664.836477,422.2238095238095,0,0.0,0.0,0.0,55540.213352829815,536316.7752011192
55,0.22990000000000002,0.15159427209935517,0.6158859673468969,0.22749468838255008,0.024952210110408275,0.010739664698126932,1.0,0.0,1.0,0.0,14602864.1932713,1107879664.836477,422.2238095238095,0,0.0,0.0,0.0,55190.920275433346,536087.0520740708
56,0.22990000000000002,0.15159427209935517,0.6158859673468969,0.22749468838255008,0.024952210110408275,0.010739664698126932,1.0,0.0,1.0,0.0,14508616.448267465,1107879664.836477,422.2238095238095,0,0.0,0.0,0.0,55152.92309157691,536473.8639527996
57,0.22990000000000002,0.15159427209935517,0.6158859673468969,0.22749468838255008,0.024952210110408275,0.010739664698126932,1.0,0.0,1.0,0.0,14508616.448267465,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,54489.008891986,535603.8956895369
58,0.22990000000000002,0.15159427209935517,0.6158859673468969,0.22749468838255008,0.024952210110408275,0.010739664698126932,1.0,0.0,1.0,0.0,14508616.448267465,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,54539.6880563592,536047.4938948209
59,0.22990000000000002,0.15159427209935517,0.6158859673468969,0.22749468838255008,0.024952210110408275,0.010739664698126932,1.0,0.0,1.0,0.0,14508616.448267465,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,54180.45689735256,535765.3129393433
60,0.24655,0.15696248755674078,0.5853090462699541,0.22335915312611399,0.02244564891193234,0.010376358227990537,1.0,0.0,1.0,0.0,14504374.014056662,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,54059.093793217115,535761.1303628641
61,0.24655,0.15696248755674078,0.5853090462699541,0.22335915312611399,0.02244564891193234,0.010376358227990537,1.0,0.0,1.0,0.0,14504374.014056662,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53732.76873080936,535261.7305654894
62,0.24655,0.15696248755674078,0.5853090462699541,0.22335915312611399,0.02244564891193234,0.010376358227990537,1.0,0.0,1.0,0.0,14504374.014056662,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53841.698714016005,535458.7485213561
63,0.24655,0.15696248755674078,0.5853090462699541,0.22335915312611399,0.02244564891193234,0.010376358227990537,1.0,0.0,1.0,0.0,14495403.614810474,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53522.29927734391,535142.3886222437
64,0.24655,0.15696248755674078,0.5853090462699541,0.22335915312611399,0.02244564891193234,0.010376358227990537,1.0,0.0,1.0,0.0,14452486.861892397,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53502.89824836623,535372.2610239412
65,0.26220000000000004,0.16070913684873883,0.564020488624228,0.22140961121520947,0.02434157443340103,0.014547542935558403,1.0,0.0,1.0,0.0,14452486.861892397,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53339.920138679976,535646.1242500015
66,0.26220000000000004,0.16070913684873883,0.564020488624228,0.22140961121520947,0.02434157443340103,0.014547542935558403,1.0,0.0,1.0,0.0,14452486.861892397,1107378114.7818036,422.2238095238095,0,0.0,0.0,0.0,53091.26361343528,535413.4211628168
67,0.26220000000000004,0.16070913684873883,0.564020488624228,0.22140961121520947,0.02434157443340103,0.014547542935558403,1.0,0.0,1.0,0.0,14445084.750219328,1105599724.5034914,422.2238095238095,0,0.0,0.0,0.0,52740.40586754294,535176.1491688716
68,0.26220000000000004,0.16070913684873883,0.564020488624228,0.22140961121520947,0.02434157443340103,0.014547542935558403,1.0,0.0,1.0,0.0,14445084.750219328,1105366149.6362429,422.2238095238095,0,0.0,0.0,0.0,52921.94584961971,535815.7201639278
69,0.26220000000000004,0.16070913684873883,0.564020488624228,0.22140961121520947,0.02434157443340103,0.014547542935558403,1.0,0.0,1.0,0.0,14441048.817437181,1105366149.6362429,422.2238095238095,0,0.0,0.0,0.0,53432.68346019029,536865.0789079022
70,0.2740666666666666,0.1655447942065497,0.5500358324349164,0.22217636379261105,0.01946770895418142,0.009957207761870722,1.0,0.0,1.0,0.0,14364499.846514473,1105052329.1362429,422.2238095238095,0,0.0,0.0,0.0,53015.627367863155,536476.5060198124
71,0.2740666666666666,0.1655447942065497,0.5500358324349164,0.22217636379261105,0.01946770895418142,0.009957207761870722,1.0,0.0,1.0,0.0,14364499.846514473,1105052329.1362429,422.2238095238095,0,0.0,0.0,0.0,52976.67209734776,536649.0875188456
72,0.2740666666666666,0.1655447942065497,0.5500358324349164,0.22217636379261105,0.01946770895418142,0.009957207761870722,1.0,0.0,1.0,0.0,14364019.827778377,1104780135.5135357,422.2238095238095,0,0.0,0.0,0.0,52540.48978468707,535953.6363544036
73,0.2740666666666666,0.1655447942065497,0.5500358324349164,0.22217636379261105,0.01946770895418142,0.009957207761870722,1.0,0.0,1.0,0.0,14364019.827778377,1104553965.5112798,422.2238095238095,0,0.0,0.0,0.0,52665.21029449433,536440.779643393
74,0.2740666666666666,0.1655447942065497,0.5500358324349164,0.22217636379261105,0.01946770895418142,0.009957207761870722,1.0,0.0,1.0,0.0,14360669.138778912,1103839054.909521,422.2238095238095,0,0.0,0.0,0.0,52462.774475653474,536204.3110436889
75,0.28619999999999995,0.16494982065262556,0.5332168839257271,0.21859392802441513,0.023109984063064404,0.01314589220217853,1.0,0.0,1.0,0.0,14360669.138778912,1103839054.909521,422.2238095238095,0,0.0,0.0,0.0,52169.50408454016,535736.6131070976
76,0.28619999999999995,0.16494982065262556,0.5332168839257271,0.21859392802441513,0.023109984063064404,0.01314589220217853,1.0,0.0,1.0,0.0,14360669.138778912,1103348528.956288,422.2238095238095,0,0.0,0.0,0.0,51675.791189543816,534909.5703729925
77,0.28619999999999995,0.16494982065262556,0.5332168839257271,0.21859392802441513,0.023109984063064404,0.01314589220217853,1.0,0.0,1.0,0.0,14360669.138778912,1102959843.385673,422.2238095238095,0,0.0,0.0,0.0,51860.61167764026,535594.7948864396
78,0.28619999999999995,0.16494982065262556,0.5332168839257271,0.21859392802441513,0.023109984063064404,0.01314589220217853,1.0,0.0,1.0,0.0,14360669.138778912,1102959843.385673,422.2238095238095,0,0.0,0.0,0.0,51525.590403281305,535183.8166766751
79,0.28619999999999995,0.16494982065262556,0.5332168839257271,0.21859392802441513,0.023109984063064404,0.01314589220217853,1.0,0.0,1.0,0.0,14340632.21888554,1102959843.385673,422.2238095238095,0,0.0,0.0,0.0,51600.04564146456,535383.0112879096
80,0.2937666666666666,0.16797518335225065,0.5240376242412585,0.2188851090983486,0.02174535504209256,0.012249373515778008,1.0,0.0,1.0,0.0,14339801.109484904,1102959843.385673,422.2238095238095,0,0.0,0.0,0.0,51430.21578878321,535174.5292402995
81,0.2937666666666666,0.16797518335225065,0.5240376242412585,0.2188851090983486,0.02174535504209256,0.012249373515778008,1.0,0.0,1.0,0.0,14285103.428581854,1100073242.3207014,422.2238095238095,0,0.0,0.0,0.0,51332.23598088549,535211.7809901476
82,0.2937666666666666,0.16797518335225065,0.5240376242412585,0.2188851090983486,0.02174535504209256,0.012249373515778008,1.0,0.0,1.0,0.0,14281935.74614286,1100073242.3207014,422.2238095238095,0,0.0,0.0,0.0,51096.102738545385,534714.3433387895
83,0.2937666666666666,0.16797518335225065,0.5240376242412585,0.2188851090983486,0.02174535504209256,0.012249373515778008,1.0,0.0,1.0,0.0,14280060.323906656,1100073242.3207014,422.2238095238095,0,0.0,0.0,0.0,51192.08765666907,534761.9280310795
