generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.18993333333333334,0.060361374699020524,0.5836381232247307,0.05290572387451595,0.05163095560070256,0.02232101322605518,0.7594666666666668,0.14504705749820945,0.7594666666666668,0.14504705749820945,4483329.619197561,340868058.6329639,419.4371428571428,0,0.0,0.0,40.57359999999999,67700.62006229615,63154.60660130499
1,0.18993333333333334,0.060361374699020524,0.5836381232247307,0.05290572387451595,0.05163095560070256,0.02232101322605518,1.0,0.0,1.0,0.0,4328217.748572756,321025076.4500038,414.75595238095235,0,0.0,0.0,0.0,82712.73065128064,72613.84326206592
2,0.18993333333333334,0.060361374699020524,0.5836381232247307,0.05290572387451595,0.05163095560070256,0.02232101322605518,1.0,0.0,1.0,0.0,4328217.748572756,305922748.6413986,412.12095238095236,0,0.0,0.0,0.0,77969.45057496203,68929.75122730945
3,0.18993333333333334,0.060361374699020524,0.5836381232247307,0.05290572387451595,0.05163095560070256,0.02232101322605518,1.0,0.0,1.0,0.0,4328217.748572756,305922748.6413986,412.12095238095236,0,0.0,0.0,0.0,74068.24260854897,65610.88327904588
4,0.18993333333333334,0.060361374699020524,0.5836381232247307,0.05290572387451595,0.05163095560070256,0.02232101322605518,1.0,0.0,1.0,0.0,4326432.543208464,289304283.49876314,348.77714285714285,0,0.0,0.0,0.0,71363.1329734401,62782.96322289287
5,0.3842,0.10694013901867407,0.3608811766052667,0.07607346398034397,0.03197548388588675,0.007004607616753177,1.0,0.0,1.0,0.0,4326432.543208464,281042092.43815124,265.81333333333333,0,0.0,0.0,0.0,68945.57714487289,60647.31205204357
6,0.3842,0.10694013901867407,0.3608811766052667,0.07607346398034397,0.03197548388588675,0.007004607616753177,1.0,0.0,1.0,0.0,4326432.543208464,241808844.76022398,265.81333333333333,0,0.0,0.0,0.0,68885.31720141701,59902.2670722549
7,0.3842,0.10694013901867407,0.3608811766052667,0.07607346398034397,0.03197548388588675,0.007004607616753177,1.0,0.0,1.0,0.0,4293934.086192149,241808844.76022398,265.81333333333333,0,0.0,0.0,0.0,69121.58007561917,59717.06272081931
8,0.3842,0.10694013901867407,0.3608811766052667,0.07607346398034397,0.03197548388588675,0.007004607616753177,1.0,0.0,1.0,0.0,4293934.086192149,241280951.03351995,265.81333333333333,0,0.0,0.0,0.0,71419.2879009835,61164.5683065876
9,0.3842,0.10694013901867407,0.3608811766052667,0.07607346398034397,0.03197548388588675,0.007004607616753177,1.0,0.0,1.0,0.0,4293934.086192149,241280951.03351995,265.81333333333333,0,0.0,0.0,0.0,73749.51136147502,62435.73837478316
10,0.4837333333333333,0.10040565499789122,0.259250299333042,0.06900092708919114,0.02369508224310198,0.008405173800068604,1.0,0.0,1.0,0.0,4293934.086192149,241280951.03351995,265.81333333333333,0,0.0,0.0,0.0,73516.04913476198,62083.26947786086
11,0.4837333333333333,0.10040565499789122,0.259250299333042,0.06900092708919114,0.02369508224310198,0.008405173800068604,1.0,0.0,1.0,0.0,4293934.086192149,241280951.03351995,265.81333333333333,0,0.0,0.0,0.0,73730.18145169999,62054.64500277196
12,0.4837333333333333,0.10040565499789122,0.259250299333042,0.06900092708919114,0.02369508224310198,0.008405173800068604,1.0,0.0,1.0,0.0,4246726.464537138,240127730.7063552,265.81333333333333,0,0.0,0.0,0.0,73165.43057691849,61669.16578944832
13,0.4837333333333333,0.10040565499789122,0.259250299333042,0.06900092708919114,0.02369508224310198,0.008405173800068604,1.0,0.0,1.0,0.0,4196803.249302685,238977879.22462693,265.81333333333333,0,0.0,0.0,0.0,75404.98074651737,63163.964301654116
14,0.4837333333333333,0.10040565499789122,0.259250299333042,0.06900092708919114,0.02369508224310198,0.008405173800068604,1.0,0.0,1.0,0.0,4196803.249302685,236521474.55768365,265.81333333333333,0,0.0,0.0,0.0,75233.90019258608,63034.905815541446
15,0.54775,0.08354198046491357,0.2056357627045185,0.056926118503070965,0.0179836880765684,0.006629550319300486,1.0,0.0,1.0,0.0,4131766.115173887,236521474.55768365,265.81333333333333,0,0.0,0.0,0.0,75794.77853827909,63251.19080783893
16,0.54775,0.08354198046491357,0.2056357627045185,0.056926118503070965,0.0179836880765684,0.006629550319300486,1.0,0.0,1.0,0.0,4086148.7428928893,236207538.10345128,265.81333333333333,0,0.0,0.0,0.0,74826.7395379315,62673.28016376894
17,0.54775,0.08354198046491357,0.2056357627045185,0.056926118503070965,0.0179836880765684,0.006629550319300486,1.0,0.0,1.0,0.0,4086148.7428928893,236207538.10345128,263.83,0,0.0,0.0,0.0,76013.18971026674,63485.199118392185
18,0.54775,0.08354198046491357,0.2056357627045185,0.056926118503070965,0.0179836880765684,0.006629550319300486,1.0,0.0,1.0,0.0,4083818.7879085215,236207538.10345128,263.83,0,0.0,0.0,0.0,74328.09961085595,62405.41963192883
19,0.54775,0.08354198046491357,0.2056357627045185,0.056926118503070965,0.0179836880765684,0.006629550319300486,1.0,0.0,1.0,0.0,4083818.7879085215,236207538.10345128,263.83,0,0.0,0.0,0.0,74647.93646673908,62534.551783878545
20,0.5840333333333334,0.08045909243556972,0.173700821232321,0.05679422679454475,0.014407426576801642,0.005722477254073155,1.0,0.0,1.0,0.0,4047346.759090363,235974355.1362094,263.83,0,0.0,0.0,0.0,74302.47192676691,62268.11573462783
21,0.5840333333333334,0.08045909243556972,0.173700821232321,0.05679422679454475,0.014407426576801642,0.005722477254073155,1.0,0.0,1.0,0.0,4047346.759090363,235974355.1362094,263.83,0,0.0,0.0,0.0,75453.6100286888,62987.17511383751
22,0.5840333333333334,0.08045909243556972,0.173700821232321,0.05679422679454475,0.014407426576801642,0.005722477254073155,1.0,0.0,1.0,0.0,3998753.486533162,235974355.1362094,263.83,0,0.0,0.0,0.0,76416.23051282002,63641.85983693515
23,0.5840333333333334,0.08045909243556972,0.173700821232321,0.05679422679454475,0.014407426576801642,0.005722477254073155,1.0,0.0,1.0,0.0,3998753.486533162,234632335.64153162,263.83,0,0.0,0.0,0.0,75868.7242263192,63286.71848535832
24,0.5840333333333334,0.08045909243556972,0.173700821232321,0.05679422679454475,0.014407426576801642,0.005722477254073155,1.0,0.0,1.0,0.0,3998753.486533162,233068188.45497084,263.83,0,0.0,0.0,0.0,75526.85388773195,62972.14361470326
25,0.6048666666666666,0.07457836296287432,0.15718079180690925,0.05369383348144836,0.016318140339456846,0.006622261069101658,1.0,0.0,1.0,0.0,3998753.486533162,232772264.66666663,263.83,0,0.0,0.0,0.0,75159.12952997601,62764.92237025767
26,0.6048666666666666,0.07457836296287432,0.15718079180690925,0.05369383348144836,0.016318140339456846,0.006622261069101658,1.0,0.0,1.0,0.0,3998753.486533162,232772264.66666663,263.83,0,0.0,0.0,0.0,75544.0883201953,63021.649656861235
27,0.6048666666666666,0.07457836296287432,0.15718079180690925,0.05369383348144836,0.016318140339456846,0.006622261069101658,1.0,0.0,1.0,0.0,3996226.3719552597,232105929.7638889,263.83,0,0.0,0.0,0.0,75217.30509929216,62758.028989095175
28,0.6048666666666666,0.07457836296287432,0.15718079180690925,0.05369383348144836,0.016318140339456846,0.006622261069101658,1.0,0.0,1.0,0.0,3944350.5464038295,232105929.7638889,263.83,0,0.0,0.0,0.0,75034.0538641754,62520.44272747542
29,0.6048666666666666,0.07457836296287432,0.15718079180690925,0.05369383348144836,0.016318140339456846,0.006622261069101658,1.0,0.0,1.0,0.0,3944350.5464038295,229934372.20186964,263.83,0,0.0,0.0,0.0,74713.77135591977,62265.981043860564
30,0.6275166666666667,0.060445358704278446,0.14529804398128934,0.04999105526882409,0.014764091163232452,0.006005637060019886,1.0,0.0,1.0,0.0,3886559.0441381107,229934372.20186964,263.83,0,0.0,0.0,0.0,74441.44133145043,62022.21665625007
31,0.6275166666666667,0.060445358704278446,0.14529804398128934,0.04999105526882409,0.014764091163232452,0.006005637060019886,1.0,0.0,1.0,0.0,3883322.4962407425,229934372.20186964,263.83,0,0.0,0.0,0.0,74398.86608094725,62018.981497854
32,0.6275166666666667,0.060445358704278446,0.14529804398128934,0.04999105526882409,0.014764091163232452,0.006005637060019886,1.0,0.0,1.0,0.0,3863389.7618985586,229934372.20186964,263.83,0,0.0,0.0,0.0,74535.36374893198,62094.257228927694
33,0.6275166666666667,0.060445358704278446,0.14529804398128934,0.04999105526882409,0.014764091163232452,0.006005637060019886,1.0,0.0,1.0,0.0,3863389.7618985586,229934372.20186964,263.83,0,0.0,0.0,0.0,74350.98177594613,61972.28256477036
34,0.6275166666666667,0.060445358704278446,0.14529804398128934,0.04999105526882409,0.014764091163232452,0.006005637060019886,1.0,0.0,1.0,0.0,3863389.7618985586,229914977.57984087,263.83,0,0.0,0.0,0.0,73601.43014391986,61431.944718950144
35,0.6405333333333332,0.05810807937704436,0.13736036812800242,0.05009019126738853,0.013762461964558225,0.0053519189588368725,1.0,0.0,1.0,0.0,3863389.7618985586,229491768.33414635,263.83,0,0.0,0.0,0.0,73719.7959575539,61545.826999635916
36,0.6405333333333332,0.05810807937704436,0.13736036812800242,0.05009019126738853,0.013762461964558225,0.0053519189588368725,1.0,0.0,1.0,0.0,3863389.7618985586,229491768.33414635,263.83,0,0.0,0.0,0.0,74054.22615977372,61800.39382812805
37,0.6405333333333332,0.05810807937704436,0.13736036812800242,0.05009019126738853,0.013762461964558225,0.0053519189588368725,1.0,0.0,1.0,0.0,3837491.7004417395,229491768.33414635,263.83,0,0.0,0.0,0.0,74435.86766967607,62054.648514871784
38,0.6405333333333332,0.05810807937704436,0.13736036812800242,0.05009019126738853,0.013762461964558225,0.0053519189588368725,1.0,0.0,1.0,0.0,3837491.7004417395,229491768.33414635,263.83,0,0.0,0.0,0.0,74412.40977886984,62037.22770218913
39,0.6405333333333332,0.05810807937704436,0.13736036812800242,0.05009019126738853,0.013762461964558225,0.0053519189588368725,1.0,0.0,1.0,0.0,3837491.7004417395,229491768.33414635,263.83,0,0.0,0.0,0.0,74505.37275593725,62039.141972319194
40,0.64795,0.056981773401676435,0.1316662917912896,0.05025240561357317,0.012882285568505224,0.004864220707049116,1.0,0.0,1.0,0.0,3837491.7004417395,229491768.33414635,263.83,0,0.0,0.0,0.0,73875.29521296368,61632.52116875059
41,0.64795,0.056981773401676435,0.1316662917912896,0.05025240561357317,0.012882285568505224,0.004864220707049116,1.0,0.0,1.0,0.0,3815358.816729326,229491768.33414635,263.83,0,0.0,0.0,0.0,73668.39683326412,61509.26717090041
42,0.64795,0.056981773401676435,0.1316662917912896,0.05025240561357317,0.012882285568505224,0.004864220707049116,1.0,0.0,1.0,0.0,3815358.816729326,229491768.33414635,263.83,0,0.0,0.0,0.0,73516.01013247977,61417.79337311968
43,0.64795,0.056981773401676435,0.1316662917912896,0.05025240561357317,0.012882285568505224,0.004864220707049116,1.0,0.0,1.0,0.0,3815358.816729326,229491768.33414635,263.83,0,0.0,0.0,0.0,73075.0899503691,61119.02250634566
44,0.64795,0.056981773401676435,0.1316662917912896,0.05025240561357317,0.012882285568505224,0.004864220707049116,1.0,0.0,1.0,0.0,3815358.816729326,229491768.33414635,263.83,0,0.0,0.0,0.0,73066.63238482746,61096.81552940201
45,0.6553833333333332,0.05631439770510636,0.12710612657940074,0.049037099070487256,0.011174830548331151,0.004937657076006439,1.0,0.0,1.0,0.0,3742500.2819487234,229491768.33414635,263.83,0,0.0,0.0,0.0,72927.74626148249,60992.42008025875
46,0.6553833333333332,0.05631439770510636,0.12710612657940074,0.049037099070487256,0.011174830548331151,0.004937657076006439,1.0,0.0,1.0,0.0,3742500.2819487234,229491768.33414635,263.83,0,0.0,0.0,0.0,73474.88058400364,61396.36709018784
47,0.6553833333333332,0.05631439770510636,0.12710612657940074,0.049037099070487256,0.011174830548331151,0.004937657076006439,1.0,0.0,1.0,0.0,3729016.520354602,229307961.40059963,263.83,0,0.0,0.0,0.0,73039.3163987501,61121.55996338561
48,0.6553833333333332,0.05631439770510636,0.12710612657940074,0.049037099070487256,0.011174830548331151,0.004937657076006439,1.0,0.0,1.0,0.0,3729016.520354602,229307961.40059963,263.83,0,0.0,0.0,0.0,72822.99810045004,60984.40471628122
