generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,1.9031968949272116,0.12675744315040427,0.06372529155488547,0.014203623965183685,0.5842666666666667,0.03249505945353675,0.5842666666666667,0.03249505945353675,6315203.647581578,695332969.0912725,465.19714285714286,0,0.0,0.0,380.5539798696737,0.0,127736.25675796907
1,0.0,0.0,1.9031968949272116,0.12675744315040427,0.06372529155488547,0.014203623965183685,1.0,0.0,1.0,0.0,6124020.86799955,674723802.3545904,460.77714285714285,0,0.0,0.0,0.0,0.0,174778.88263570803
2,0.0,0.0,1.9031968949272116,0.12675744315040427,0.06372529155488547,0.014203623965183685,1.0,0.0,1.0,0.0,6006848.544370881,666455678.3663754,446.1226190476191,0,0.0,0.0,0.0,0.0,178555.02671294555
3,0.0,0.0,1.9031968949272116,0.12675744315040427,0.06372529155488547,0.014203623965183685,1.0,0.0,1.0,0.0,6006848.544370881,639905935.9124938,446.1226190476191,0,0.0,0.0,0.0,0.0,182043.953915528
4,0.0,0.0,1.9031968949272116,0.12675744315040427,0.06372529155488547,0.014203623965183685,1.0,0.0,1.0,0.0,5720536.145461614,609554896.3359382,446.1226190476191,0,0.0,0.0,0.0,0.0,183641.59070464884
5,0.05591666666666666,0.024206432799751577,0.8776661482146487,0.10133691234774443,0.04371758698138038,0.011600054815683684,1.0,0.0,1.0,0.0,5720536.145461614,594150499.7433023,446.1226190476191,0,0.0,0.0,0.0,0.0,185644.20848334953
6,0.05591666666666666,0.024206432799751577,0.8776661482146487,0.10133691234774443,0.04371758698138038,0.011600054815683684,1.0,0.0,1.0,0.0,5551412.310127687,536624752.3397234,446.1226190476191,0,0.0,0.0,0.0,0.0,186557.13719522682
7,0.05591666666666666,0.024206432799751577,0.8776661482146487,0.10133691234774443,0.04371758698138038,0.011600054815683684,1.0,0.0,1.0,0.0,5535222.368427621,533335070.77957034,446.1226190476191,0,0.0,0.0,0.0,0.0,188471.71983834004
8,0.05591666666666666,0.024206432799751577,0.8776661482146487,0.10133691234774443,0.04371758698138038,0.011600054815683684,1.0,0.0,1.0,0.0,5430071.24919973,512547904.18262225,446.1226190476191,0,0.0,0.0,0.0,0.0,189530.12108986996
9,0.05591666666666666,0.024206432799751577,0.8776661482146487,0.10133691234774443,0.04371758698138038,0.011600054815683684,1.0,0.0,1.0,0.0,5430071.24919973,512547904.18262225,407.8542857142857,0,0.0,0.0,0.0,0.0,190393.06083459352
10,0.18263333333333337,0.06822840724768207,0.5532487914872224,0.08830234442943954,0.046065070129004314,0.020098585432937233,1.0,0.0,1.0,0.0,5274651.697993356,488576170.2354756,407.8542857142857,0,0.0,0.0,0.0,0.0,189602.85885768352
11,0.18263333333333337,0.06822840724768207,0.5532487914872224,0.08830234442943954,0.046065070129004314,0.020098585432937233,1.0,0.0,1.0,0.0,5274651.697993356,488576170.2354756,407.8542857142857,0,0.0,0.0,0.0,0.0,191284.74206244477
12,0.18263333333333337,0.06822840724768207,0.5532487914872224,0.08830234442943954,0.046065070129004314,0.020098585432937233,1.0,0.0,1.0,0.0,5235779.293254235,488576170.2354756,407.8542857142857,0,0.0,0.0,0.0,0.0,193480.19891066913
13,0.18263333333333337,0.06822840724768207,0.5532487914872224,0.08830234442943954,0.046065070129004314,0.020098585432937233,1.0,0.0,1.0,0.0,5144646.693274659,467437875.23488283,407.8542857142857,0,0.0,0.0,0.0,0.0,192924.8860329148
14,0.18263333333333337,0.06822840724768207,0.5532487914872224,0.08830234442943954,0.046065070129004314,0.020098585432937233,1.0,0.0,1.0,0.0,5144646.693274659,467437875.23488283,407.8542857142857,0,0.0,0.0,0.0,0.0,193369.2830227296
