generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
20,0.0,0.0,7.379916517018916,1.4853595547202143,0.17456183253289212,0.07285951641162557,1.0,0.0,1.0,0.0,5828713.603526879,407.8542857142857,0,0.0,0.0,0.0,1823.1261096388932,137709.54877665438
21,0.0,0.0,7.379916517018916,1.4853595547202143,0.17456183253289212,0.07285951641162557,1.0,0.0,1.0,0.0,5812373.534386865,407.8542857142857,0,0.0,0.0,0.0,1614.8875461230282,138052.258315595
22,0.0,0.0,7.379916517018916,1.4853595547202143,0.17456183253289212,0.07285951641162557,1.0,0.0,1.0,0.0,5777766.548463816,407.8542857142857,0,0.0,0.0,0.0,1498.7655156699136,138734.3856334629
23,0.0,0.0,7.379916517018916,1.4853595547202143,0.17456183253289212,0.07285951641162557,1.0,0.0,1.0,0.0,5742873.757683826,407.8542857142857,0,0.0,0.0,0.0,1381.0210742858194,139928.98483990526
24,0.0,0.0,7.379916517018916,1.4853595547202143,0.17456183253289212,0.07285951641162557,1.0,0.0,1.0,0.0,5739631.460532507,407.8542857142857,0,0.0,0.0,0.0,1290.2580391071178,141191.17910515604
25,0.0,0.0,5.678385301013328,1.2339248286329911,0.12575766228298024,0.11713166439165842,1.0,0.0,1.0,0.0,5706104.982454076,407.8542857142857,0,0.0,0.0,0.0,1241.4588166540266,141845.14257024069
26,0.0,0.0,5.678385301013328,1.2339248286329911,0.12575766228298024,0.11713166439165842,1.0,0.0,1.0,0.0,5706104.982454076,407.8542857142857,0,0.0,0.0,0.0,1221.8035157167003,142667.40514083876
27,0.0,0.0,5.678385301013328,1.2339248286329911,0.12575766228298024,0.11713166439165842,1.0,0.0,1.0,0.0,5700711.926336597,407.8542857142857,0,0.0,0.0,0.0,1192.150938301555,143472.64730956702
28,0.0,0.0,5.678385301013328,1.2339248286329911,0.12575766228298024,0.11713166439165842,1.0,0.0,1.0,0.0,5683846.567966426,407.8542857142857,0,0.0,0.0,0.0,1176.3942051901504,144403.33504593844
29,0.0,0.0,5.678385301013328,1.2339248286329911,0.12575766228298024,0.11713166439165842,1.0,0.0,1.0,0.0,5664813.075111443,407.8542857142857,0,0.0,0.0,0.0,1160.8418758955304,144867.3530438169
30,0.0,0.0,4.6822283668883555,1.1182994634255385,0.10374059077270033,0.11808499023667338,1.0,0.0,1.0,0.0,5664813.075111443,407.8542857142857,0,0.0,0.0,0.0,1143.1067319553513,145474.64575415416
31,0.0,0.0,4.6822283668883555,1.1182994634255385,0.10374059077270033,0.11808499023667338,1.0,0.0,1.0,0.0,5652166.3719954435,407.8542857142857,0,0.0,0.0,0.0,1131.6319029828483,145770.64738857502
32,0.0,0.0,4.6822283668883555,1.1182994634255385,0.10374059077270033,0.11808499023667338,1.0,0.0,1.0,0.0,5652166.3719954435,407.8542857142857,0,0.0,0.0,0.0,1124.778743505726,146318.59681882834
