generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,1.489502567863927,0.26208501028667114,0.08816471824202148,0.049635293818221286,0.20560000000000012,0.0771256982680438,0.20560000000000012,0.0771256982680438,29582135.6704528,1202383351.6435947,531.3000000000001,0,0.0,0.0,873.0466146090761,209691.6319803621,193675.1417997383
1,0.0,0.0,1.489502567863927,0.26208501028667114,0.08816471824202148,0.049635293818221286,0.6240000000000001,0.19161071647135675,0.6240000000000001,0.19161071647135675,29125877.622577924,1045650358.7684053,531.3000000000001,0,0.0,0.0,37.51748087118157,333529.12486452895,272633.85307554924
2,0.0,0.0,1.489502567863927,0.26208501028667114,0.08816471824202148,0.049635293818221286,0.9887999999999999,0.0546738206701038,0.9887999999999999,0.0546738206701038,26473561.740889348,1045650358.7684053,516.045,0,0.0,0.0,0.3839185768360397,343955.85311323934,278890.4054914161
3,0.0,0.0,1.489502567863927,0.26208501028667114,0.08816471824202148,0.049635293818221286,1.0,0.0,1.0,0.0,26473561.740889348,1036367181.0483193,481.7004761904762,0,0.0,0.0,0.0,336200.5975196913,272900.87381279934
4,0.0,0.0,1.489502567863927,0.26208501028667114,0.08816471824202148,0.049635293818221286,1.0,0.0,1.0,0.0,25003065.788801037,945398099.0699053,467.83142857142855,0,0.0,0.0,0.0,334028.7632057854,270684.7976309595
5,0.031849999999999996,0.025700891683623227,0.9888496306244038,0.15778888348823536,0.049548331569397856,0.01083936373076452,1.0,0.0,1.0,0.0,25003065.788801037,945398099.0699053,467.83142857142855,0,0.0,0.0,0.0,330723.5161401629,268249.56011679734
6,0.031849999999999996,0.025700891683623227,0.9888496306244038,0.15778888348823536,0.049548331569397856,0.01083936373076452,1.0,0.0,1.0,0.0,25003065.788801037,904773542.4057404,465.19714285714286,0,0.0,0.0,0.0,328684.960271116,266313.0054273833
7,0.031849999999999996,0.025700891683623227,0.9888496306244038,0.15778888348823536,0.049548331569397856,0.01083936373076452,1.0,0.0,1.0,0.0,25003065.788801037,894140804.1936821,465.19714285714286,0,0.0,0.0,0.0,326140.2665131668,264101.594859872
8,0.031849999999999996,0.025700891683623227,0.9888496306244038,0.15778888348823536,0.049548331569397856,0.01083936373076452,1.0,0.0,1.0,0.0,24654681.93644059,828912918.3899925,465.19714285714286,0,0.0,0.0,0.0,327706.4324939828,264145.6664418624
9,0.031849999999999996,0.025700891683623227,0.9888496306244038,0.15778888348823536,0.049548331569397856,0.01083936373076452,1.0,0.0,1.0,0.0,24654681.93644059,821503096.8689806,465.19714285714286,0,0.0,0.0,0.0,327916.6911095373,263554.71218185057
10,0.09258333333333334,0.06703681617008837,0.7724533741982978,0.18263230479152545,0.048487085589536946,0.014655245167315964,1.0,0.0,1.0,0.0,23771149.992600553,821503096.8689806,430.097619047619,0,0.0,0.0,0.0,324938.54091390944,260710.23153251276
11,0.09258333333333334,0.06703681617008837,0.7724533741982978,0.18263230479152545,0.048487085589536946,0.014655245167315964,1.0,0.0,1.0,0.0,23771149.992600553,816959278.7658988,430.097619047619,0,0.0,0.0,0.0,324129.70503298077,259786.94159117748
12,0.09258333333333334,0.06703681617008837,0.7724533741982978,0.18263230479152545,0.048487085589536946,0.014655245167315964,1.0,0.0,1.0,0.0,23565349.65810047,816959278.7658988,430.097619047619,0,0.0,0.0,0.0,324281.3542741649,259611.122592247
13,0.09258333333333334,0.06703681617008837,0.7724533741982978,0.18263230479152545,0.048487085589536946,0.014655245167315964,1.0,0.0,1.0,0.0,23565349.65810047,757594619.1163975,430.097619047619,0,0.0,0.0,0.0,322933.3951052005,258102.15498009292
14,0.09258333333333334,0.06703681617008837,0.7724533741982978,0.18263230479152545,0.048487085589536946,0.014655245167315964,1.0,0.0,1.0,0.0,23565349.65810047,757594619.1163975,430.097619047619,0,0.0,0.0,0.0,319771.3169484693,255911.3280081408
15,0.16321666666666665,0.09883594853201047,0.6242090517201734,0.19607920685392888,0.04598286899295931,0.015450359442957523,1.0,0.0,1.0,0.0,22982360.017629385,757594619.1163975,420.882619047619,0,0.0,0.0,0.0,319920.9629277117,255812.06045713474
16,0.16321666666666665,0.09883594853201047,0.6242090517201734,0.19607920685392888,0.04598286899295931,0.015450359442957523,1.0,0.0,1.0,0.0,21632752.331864826,757594619.1163975,420.882619047619,0,0.0,0.0,0.0,317528.2904290658,254103.47565571105
17,0.16321666666666665,0.09883594853201047,0.6242090517201734,0.19607920685392888,0.04598286899295931,0.015450359442957523,1.0,0.0,1.0,0.0,21632752.331864826,755767750.0160339,420.882619047619,0,0.0,0.0,0.0,316895.34099917614,253821.66611137646
18,0.16321666666666665,0.09883594853201047,0.6242090517201734,0.19607920685392888,0.04598286899295931,0.015450359442957523,1.0,0.0,1.0,0.0,21632752.331864826,755767750.0160339,420.882619047619,0,0.0,0.0,0.0,317206.5854237626,253769.95919028835
19,0.16321666666666665,0.09883594853201047,0.6242090517201734,0.19607920685392888,0.04598286899295931,0.015450359442957523,1.0,0.0,1.0,0.0,21559722.17346998,747841756.5740032,419.4371428571428,0,0.0,0.0,0.0,317907.00824042433,253909.48244319818
20,0.23034999999999997,0.12325901927783353,0.5157433530055721,0.21162849614185716,0.03954944485661234,0.017063535110354286,1.0,0.0,1.0,0.0,21428295.174769625,747841756.5740032,419.4371428571428,0,0.0,0.0,0.0,315907.4261281843,252482.1331824709
21,0.23034999999999997,0.12325901927783353,0.5157433530055721,0.21162849614185716,0.03954944485661234,0.017063535110354286,1.0,0.0,1.0,0.0,21428295.174769625,747841756.5740032,419.4371428571428,0,0.0,0.0,0.0,316727.7610887938,253155.7385172226
22,0.23034999999999997,0.12325901927783353,0.5157433530055721,0.21162849614185716,0.03954944485661234,0.017063535110354286,1.0,0.0,1.0,0.0,20329502.600326512,745977215.39454,419.4371428571428,0,0.0,0.0,0.0,317929.0670764847,253943.26785574976
23,0.23034999999999997,0.12325901927783353,0.5157433530055721,0.21162849614185716,0.03954944485661234,0.017063535110354286,1.0,0.0,1.0,0.0,20329502.600326512,745977215.39454,419.4371428571428,0,0.0,0.0,0.0,315460.09952293074,252356.20741104076
24,0.23034999999999997,0.12325901927783353,0.5157433530055721,0.21162849614185716,0.03954944485661234,0.017063535110354286,1.0,0.0,1.0,0.0,20329502.600326512,745977215.39454,419.4371428571428,0,0.0,0.0,0.0,314600.0995141092,251786.13992050925
25,0.2941666666666667,0.13485308878759714,0.42561144860311034,0.20816282512757167,0.03540140851144393,0.016133183402073235,1.0,0.0,1.0,0.0,20329502.600326512,745977215.39454,419.4371428571428,0,0.0,0.0,0.0,315512.6426235561,252497.79669534325
26,0.2941666666666667,0.13485308878759714,0.42561144860311034,0.20816282512757167,0.03540140851144393,0.016133183402073235,1.0,0.0,1.0,0.0,20329502.600326512,739491575.1656095,419.4371428571428,0,0.0,0.0,0.0,315906.8909428473,252673.64848878086
27,0.2941666666666667,0.13485308878759714,0.42561144860311034,0.20816282512757167,0.03540140851144393,0.016133183402073235,1.0,0.0,1.0,0.0,20329502.600326512,739491575.1656095,419.4371428571428,0,0.0,0.0,0.0,312474.25429280626,250282.72226984892
28,0.2941666666666667,0.13485308878759714,0.42561144860311034,0.20816282512757167,0.03540140851144393,0.016133183402073235,1.0,0.0,1.0,0.0,20329502.600326512,729699062.8037124,419.4371428571428,0,0.0,0.0,0.0,311300.81623942056,249522.73821341834
29,0.2941666666666667,0.13485308878759714,0.42561144860311034,0.20816282512757167,0.03540140851144393,0.016133183402073235,1.0,0.0,1.0,0.0,20329502.600326512,729699062.8037124,419.4371428571428,0,0.0,0.0,0.0,311827.16937206726,249881.80803939473
30,0.3445166666666667,0.1273950864655131,0.3577454784278819,0.1859382031414404,0.03604714533224683,0.019591730178700594,1.0,0.0,1.0,0.0,20329502.600326512,729699062.8037124,419.4371428571428,0,0.0,0.0,0.0,310348.4831229894,248862.3824838413
31,0.3445166666666667,0.1273950864655131,0.3577454784278819,0.1859382031414404,0.03604714533224683,0.019591730178700594,1.0,0.0,1.0,0.0,20329502.600326512,729699062.8037124,419.4371428571428,0,0.0,0.0,0.0,309490.14353351225,248444.38331151634
32,0.3445166666666667,0.1273950864655131,0.3577454784278819,0.1859382031414404,0.03604714533224683,0.019591730178700594,1.0,0.0,1.0,0.0,19971854.803675506,721859882.7486978,413.2192857142857,0,0.0,0.0,0.0,310293.90683982096,249104.45404190887
33,0.3445166666666667,0.1273950864655131,0.3577454784278819,0.1859382031414404,0.03604714533224683,0.019591730178700594,1.0,0.0,1.0,0.0,19971854.803675506,721859882.7486978,413.2192857142857,0,0.0,0.0,0.0,309158.83033498185,248391.9187658279
34,0.3445166666666667,0.1273950864655131,0.3577454784278819,0.1859382031414404,0.03604714533224683,0.019591730178700594,1.0,0.0,1.0,0.0,19971854.803675506,721859882.7486978,413.2192857142857,0,0.0,0.0,0.0,310511.44370013225,249295.52178578285
35,0.37876666666666664,0.12290292465555444,0.3138210669711169,0.16254088347643136,0.035914668881885624,0.019756227215161046,1.0,0.0,1.0,0.0,19971854.803675506,703577875.0051059,413.2192857142857,0,0.0,0.0,0.0,308822.0654497647,248175.6828355456
36,0.37876666666666664,0.12290292465555444,0.3138210669711169,0.16254088347643136,0.035914668881885624,0.019756227215161046,1.0,0.0,1.0,0.0,19971854.803675506,703577875.0051059,413.2192857142857,0,0.0,0.0,0.0,308227.47180224146,247811.26289905753
37,0.37876666666666664,0.12290292465555444,0.3138210669711169,0.16254088347643136,0.035914668881885624,0.019756227215161046,1.0,0.0,1.0,0.0,19971854.803675506,702298422.1969693,413.2192857142857,0,0.0,0.0,0.0,307055.7120262504,247097.92617481374
38,0.37876666666666664,0.12290292465555444,0.3138210669711169,0.16254088347643136,0.035914668881885624,0.019756227215161046,1.0,0.0,1.0,0.0,19971854.803675506,702298422.1969693,413.2192857142857,0,0.0,0.0,0.0,308567.3531101214,248157.13339394584
