generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinEmission_gCO2_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
0,0.0,0.0,4.277850195157034,0.37678326571828463,0.18941895798184813,0.04819929546160634,0.20560000000000012,0.0771256982680438,0.20560000000000012,0.0771256982680438,12280046.853850972,1211453170.5780675,466.14214285714286,0,0.0,0.0,873.0466146090761,33536.56796349974,193675.1417997383
1,0.0,0.0,4.277850195157034,0.37678326571828463,0.18941895798184813,0.04819929546160634,0.6277333333333334,0.19031183766533163,0.6277333333333334,0.19031183766533163,11310971.153038997,1118279327.1521554,466.14214285714286,0,0.0,0.0,36.96981411282857,53620.266222247585,273312.4160742606
2,0.0,0.0,4.277850195157034,0.37678326571828463,0.18941895798184813,0.04819929546160634,0.9874666666666667,0.048779595005379955,0.9874666666666667,0.048779595005379955,11277397.254497297,995429823.4094875,465.19714285714286,0,0.0,0.0,0.33738924693324523,52139.04017108701,283234.7041766277
3,0.0,0.0,4.277850195157034,0.37678326571828463,0.18941895798184813,0.04819929546160634,1.0,0.0,1.0,0.0,11198255.131738495,972768578.568689,465.19714285714286,0,0.0,0.0,0.0,47988.07618500751,285369.7448910976
4,0.0,0.0,4.277850195157034,0.37678326571828463,0.18941895798184813,0.04819929546160634,1.0,0.0,1.0,0.0,10714640.748336822,937617115.673607,465.19714285714286,0,0.0,0.0,0.0,45626.05344734798,287584.4425066148
5,0.0,0.0,2.4841212249924016,0.35762726265254874,0.10561709769292511,0.024672097675207207,1.0,0.0,1.0,0.0,10714640.748336822,937617115.673607,465.19714285714286,0,0.0,0.0,0.0,44146.606021588166,291093.10350917856
6,0.0,0.0,2.4841212249924016,0.35762726265254874,0.10561709769292511,0.024672097675207207,1.0,0.0,1.0,0.0,10232088.079766044,910183744.3851231,460.77714285714285,0,0.0,0.0,0.0,41948.843658825754,291493.32261613465
7,0.0,0.0,2.4841212249924016,0.35762726265254874,0.10561709769292511,0.024672097675207207,1.0,0.0,1.0,0.0,9966448.82609591,868864322.7429681,460.77714285714285,0,0.0,0.0,0.0,40945.838494428215,293139.35184353846
8,0.0,0.0,2.4841212249924016,0.35762726265254874,0.10561709769292511,0.024672097675207207,1.0,0.0,1.0,0.0,9966448.82609591,812020741.8310478,460.77714285714285,0,0.0,0.0,0.0,39394.95385175637,293531.03535644856
9,0.0,0.0,2.4841212249924016,0.35762726265254874,0.10561709769292511,0.024672097675207207,1.0,0.0,1.0,0.0,9871295.558125237,810808206.1278949,460.77714285714285,0,0.0,0.0,0.0,38883.30935954259,296684.0985479077
